alpha,K250,K350,K500
-4.0,0.9406,0.9409,0.8696
-3.5,0.9550,0.9551,0.8977
-3.0,0.9677,0.9676,0.9236
-2.5,0.9786,0.9785,0.9471
-2.0,0.9877,0.9876,0.9678
-1.5,0.9948,0.9948,0.9855
-1.0,1.0000,1.0000,1.0000
-0.5,1.0031,1.0032,1.0111
0.0,1.0041,1.0044,1.0187
0.5,1.0031,1.0035,1.0226
1.0,0.9999,1.0006,1.0229
1.5,0.9945,0.9955,1.0195
2.0,0.9871,0.9885,1.0126
2.5,0.9776,0.9794,1.0022
3.0,0.9661,0.9684,0.9885
3.5,0.9527,0.9555,0.9717
4.0,0.9375,0.9409,0.9521
4.5,0.9206,0.9245,0.9298
5.0,0.9020,0.9067,0.9053
