band,GALEX_FUV
0.134,0.0
0.1341,0.0115400004
0.1342,0.0230800009
0.1343,0.0346199989
0.1344,0.0461600018
0.1345,0.0576999998
0.1346,0.0692399979
0.1347,0.0807800007
0.1348,0.0923200035
0.1349,0.1038599968
0.135,0.1153999996
0.1351,0.1184560013
0.1352,0.1215120029
0.1353,0.1245680046
0.1354,0.1276239967
0.1355,0.1306799984
0.1356,0.1337360001
0.1357,0.1367920017
0.1358,0.1398480034
0.1359,0.1429039955
0.136,0.1459599972
0.1361,0.1490159988
0.1362,0.1520720005
0.1363,0.1551280022
0.1364,0.1581840038
0.1365,0.1612400055
0.1366,0.1642959976
0.1367,0.1673520088
0.1368,0.1704080009
0.1369,0.1734639931
0.137,0.1765200043
0.1371,0.1766419983
0.1372,0.1767639923
0.1373,0.1768860054
0.1374,0.1770079994
0.1375,0.1771299934
0.1376,0.1772520065
0.1377,0.1773740005
0.1378,0.1774959946
0.1379,0.1776180077
0.138,0.1777400017
0.1381,0.1749279976
0.1382,0.1721159935
0.1383,0.1693040085
0.1384,0.1664920044
0.1385,0.1636800003
0.1386,0.1608679962
0.1387,0.1580560017
0.1388,0.1552439976
0.1389,0.152432003
0.139,0.1496199989
0.1391,0.1468080044
0.1392,0.1439960003
0.1393,0.1411839962
0.1394,0.1383720016
0.1395,0.1355599976
0.1396,0.132748003
0.1397,0.1299359989
0.1398,0.1271240044
0.1399,0.1243120003
0.14,0.1214999962
0.1401,0.1267440033
0.1402,0.1319880009
0.1403,0.1372319984
0.1404,0.142475996
0.1405,0.1477200031
0.1406,0.1529640007
0.1407,0.1582079983
0.1408,0.1634519959
0.1409,0.168696003
0.141,0.173939991
0.1411,0.1791839981
0.1412,0.1844280052
0.1413,0.1896719933
0.1414,0.1949160004
0.1415,0.2001600075
0.1416,0.2054039955
0.1417,0.2106480026
0.1418,0.2158919907
0.1419,0.2211359978
0.142,0.2263800049
0.1421,0.2307839966
0.1422,0.2351880074
0.1423,0.2395919991
0.1424,0.2439959908
0.1425,0.2484000015
0.1426,0.2528039932
0.1427,0.257208004
0.1428,0.2616119957
0.1429,0.2660160065
0.143,0.2704199982
0.1431,0.2739839935
0.1432,0.277548008
0.1433,0.2811120033
0.1434,0.2846759987
0.1435,0.288239994
0.1436,0.2918040085
0.1437,0.2953680038
0.1438,0.2989319992
